idUsuario,idVenta,fecha,idProducto,nombreProducto,categoria,precio,cantidad
4,1,2026-06-18,1,"Lata Leche Gloria 390ml","Abarrotes",4.00,1
4,1,2026-06-18,2,"Fideos Bells 500g","Abarrotes",5.00,1
4,2,2026-06-18,1,"Lata Leche Gloria 390ml","Abarrotes",4.00,1
4,2,2026-06-18,2,"Fideos Bells 500g","Abarrotes",5.00,1
4,2,2026-06-18,3,"Gaseosa CocaCola 1L","Bebidas",6.50,1
4,2,2026-06-18,4,"Galleta Oreo Pack x6","Dulces",6.00,1
4,3,2026-06-18,1,"Lata Leche Gloria 390ml","Abarrotes",4.00,1
4,3,2026-06-18,2,"Fideos Bells 500g","Abarrotes",5.00,1
4,3,2026-06-18,3,"Gaseosa CocaCola 1L","Bebidas",6.50,1
4,3,2026-06-18,5,"Gaseosa InkaCola 3L","Bebidas",12.00,1
4,3,2026-06-18,6,"Arroz Costeño 5kg","Abarrotes",21.00,1
4,3,2026-06-18,7,"H&S Shampoo 250ml","Higiene",10.00,1
4,3,2026-06-18,8,"Spark Manzana Lata 473ml","Bebidas Alcoholicas",7.00,1
4,4,2026-06-18,3,"Gaseosa CocaCola 1L","Bebidas",6.50,2
4,4,2026-06-18,5,"Gaseosa InkaCola 3L","Bebidas",12.00,2
4,4,2026-06-18,6,"Arroz Costeño 5kg","Abarrotes",21.00,1
4,5,2026-06-23,1,"Lata Leche Gloria 390ml","Abarrotes",4.00,1
4,5,2026-06-23,2,"Fideos Bells 500g","Abarrotes",5.00,1
4,5,2026-06-23,3,"Gaseosa CocaCola 1L","Bebidas",6.50,1
4,5,2026-06-23,5,"Gaseosa InkaCola 3L","Bebidas",12.00,1
4,5,2026-06-23,6,"Arroz Costeño 5kg","Abarrotes",21.00,1
4,5,2026-06-23,7,"H&S Shampoo 250ml","Higiene",10.00,1
4,5,2026-06-23,8,"Spark Manzana Lata 473ml","Bebidas Alcoholicas",7.00,1
4,5,2026-06-23,9,"Spark Mora Lata 473ml","Bebidas Alcoholicas",7.00,1
4,6,2026-06-23,1,"Lata Leche Gloria 390ml","Abarrotes",4.00,1
4,6,2026-06-23,14,"Lata Leche Gloria Entera 390ml","Abarrotes",4.50,1
4,6,2026-06-23,15,"Lata Leche Gloria Infantil 390ml","Abarrotes",4.50,1
4,6,2026-06-23,16,"Lata Leche Condensada Gloria 395ml","Abarrotes",6.00,1
4,6,2026-06-23,17,"Manjar Gloria 200g","Abarrotes",5.00,1
4,6,2026-06-23,39,"Caja Leche Chocolatada 965ml","Abarrotes",7.00,1
4,7,2026-06-23,1,"Lata Leche Gloria 390ml","Abarrotes",4.00,2
4,7,2026-06-23,40,"Café Altomayo 175g","Abarrotes",30.00,1
4,8,2026-06-23,1,"Lata Leche Gloria 390ml","Abarrotes",4.00,2
4,8,2026-06-23,16,"Lata Leche Condensada Gloria 395ml","Abarrotes",6.00,1
4,8,2026-06-23,6,"Arroz Costeño 5kg","Abarrotes",21.00,1
4,8,2026-06-23,18,"Azucar Bells 5kg","Abarrotes",15.00,1
4,9,2026-06-23,8,"Spark Manzana Lata 473ml","Bebidas Alcoholicas",7.00,4
4,9,2026-06-23,9,"Spark Mora Lata 473ml","Bebidas Alcoholicas",7.00,4
3,10,2026-06-23,10,"Coca Cola 1.5L","Bebidas",8.00,1
3,10,2026-06-23,11,"Ron Cartavio 750ml","Bebidas Alcoholicas",25.00,1
3,10,2026-06-23,12,"Johnnie Walker RED LABEL 1L","Bebidas Alcoholicas",45.00,1
3,10,2026-06-23,32,"Hielo 3kg","Bebidas",6.50,1
3,11,2026-06-23,8,"Spark Manzana Lata 473ml","Bebidas Alcoholicas",7.00,1
3,11,2026-06-23,9,"Spark Mora Lata 473ml","Bebidas Alcoholicas",7.00,1
3,11,2026-06-23,11,"Ron Cartavio 750ml","Bebidas Alcoholicas",25.00,1
3,11,2026-06-23,12,"Johnnie Walker RED LABEL 1L","Bebidas Alcoholicas",45.00,1
3,11,2026-06-23,34,"Vino Villa Vieja 900ml","Bebidas Alcoholicas",18.00,1
3,11,2026-06-23,35,"Ron Cartavio Blanco 750ml","Bebidas Alcoholicas",25.00,1
3,11,2026-06-23,32,"Hielo 3kg","Bebidas",6.50,1
3,12,2026-06-23,3,"Gaseosa CocaCola 1L","Bebidas",6.50,1
3,12,2026-06-23,11,"Ron Cartavio 750ml","Bebidas Alcoholicas",25.00,1
3,13,2026-06-23,10,"Coca Cola 1.5L","Bebidas",8.00,3
3,13,2026-06-23,11,"Ron Cartavio 750ml","Bebidas Alcoholicas",25.00,1
3,13,2026-06-23,12,"Johnnie Walker RED LABEL 1L","Bebidas Alcoholicas",45.00,1
3,13,2026-06-23,32,"Hielo 3kg","Bebidas",6.50,1
3,13,2026-06-23,31,"Sporade 500ml","Bebidas",2.50,1
3,14,2026-06-23,4,"Galleta Oreo Pack x6","Dulces",6.00,1
3,14,2026-06-23,26,"Chocman Pack 6 unid","Dulces",6.00,1
3,14,2026-06-23,27,"Galleta Casino Pack 6 unid","Dulces",6.00,1
3,14,2026-06-23,28,"Galleta Rellenitas Pack 8 unid","Dulces",5.00,1
3,15,2026-06-23,36,"Piqueo Snacks 190g","Snacks",12.00,2
3,15,2026-06-23,37,"Doritos 140g","Snacks",10.00,1
3,16,2026-06-23,7,"H&S Shampoo 250ml","Higiene",10.00,1
3,16,2026-06-23,22,"H&S Acondicionador 300ml","Higiene",20.00,1
3,16,2026-06-23,23,"Jabon Antibacterial Protex","Higiene",4.50,1
3,17,2026-06-23,9,"Spark Mora Lata 473ml","Bebidas Alcoholicas",7.00,5
3,17,2026-06-23,8,"Spark Manzana Lata 473ml","Bebidas Alcoholicas",7.00,6
3,18,2026-06-23,24,"Piel Clásico 3 unid","Preservativos",4.50,1
3,18,2026-06-23,25,"Piel Retardante 3 unid","Preservativos",5.50,1
3,18,2026-06-23,31,"Sporade 500ml","Bebidas",2.50,1
3,19,2026-06-23,24,"Piel Clásico 3 unid","Preservativos",4.50,5
3,19,2026-06-23,31,"Sporade 500ml","Bebidas",2.50,6
3,20,2026-06-23,7,"H&S Shampoo 250ml","Higiene",10.00,1
3,20,2026-06-23,23,"Jabon Antibacterial Protex","Higiene",4.50,1
3,21,2026-06-23,8,"Spark Manzana Lata 473ml","Bebidas Alcoholicas",7.00,1
3,21,2026-06-23,9,"Spark Mora Lata 473ml","Bebidas Alcoholicas",7.00,1
3,21,2026-06-23,11,"Ron Cartavio 750ml","Bebidas Alcoholicas",25.00,1
3,21,2026-06-23,10,"Coca Cola 1.5L","Bebidas",8.00,1
3,22,2026-06-23,4,"Galleta Oreo Pack x6","Dulces",6.00,4
3,22,2026-06-23,26,"Chocman Pack 6 unid","Dulces",6.00,4
3,22,2026-06-23,27,"Galleta Casino Pack 6 unid","Dulces",6.00,4
3,22,2026-06-23,28,"Galleta Rellenitas Pack 8 unid","Dulces",5.00,4
3,23,2026-06-23,6,"Arroz Costeño 5kg","Abarrotes",21.00,1
3,23,2026-06-23,13,"Aceite Primor 900ml","Abarrotes",9.50,1
3,23,2026-06-23,18,"Azucar Bells 5kg","Abarrotes",15.00,1
3,24,2026-06-23,2,"Fideos Bells 500g","Abarrotes",5.00,1
3,24,2026-06-23,6,"Arroz Costeño 5kg","Abarrotes",21.00,1
3,24,2026-06-23,18,"Azucar Bells 5kg","Abarrotes",15.00,1
3,24,2026-06-23,13,"Aceite Primor 900ml","Abarrotes",9.50,4
3,25,2026-06-23,1,"Lata Leche Gloria 390ml","Abarrotes",4.00,6
3,25,2026-06-23,16,"Lata Leche Condensada Gloria 395ml","Abarrotes",6.00,1
3,26,2026-06-23,29,"Agua Ciel 5L","Bebidas",4.00,1
3,26,2026-06-23,30,"Agua Ciel 1L","Bebidas",1.50,1
3,26,2026-06-23,32,"Hielo 3kg","Bebidas",6.50,1
3,27,2026-06-23,32,"Hielo 3kg","Bebidas",6.50,1
